ID,Start time,Completion time,How Familiar are you with Pill Adminstration,What Age Group do you fall in?,Gender,When do you take your tablets? (Select all that apply),What is the Maximum number of tablets you take in the Morning?,What is the Maximum number of tablets you take in the Afternoon?,Night,How frequently do you visit for Doctor Check ups (Periodical Check ups also included),Do you Believe Pill Dispensers would save your time and energy,Do you fear pill dispensers will leak your data or fail to protect it?,What do you think will be the cost of a pill dispenser?,Are you currently receiving support or assistance from a caregiver or healthcare professional for medication management?,Have you forgotten to take your pills on time?,Have you ever taken the wrong medication?,How many times have you neglected the before and after food tablet consumption criterion?
1,6-29-23 13:14:05,6-29-23 13:16:04,What is Pill administration?,18-30,Man,Morning;Afternoon;Night;,3,5,7,Not very Frequent,Yes,Yes,Few thousand Rupees,No,Yes,Maybe,I try to stick to the prescribed method of intake.
2,6-29-23 13:28:48,6-29-23 13:30:20,What is Pill administration?,18-30,Man,Night;,0,0,3,0,No,Maybe,Less than Thousand Rupees,No,No,No,Not Once.
3,6-29-23 13:28:54,6-29-23 13:30:53,What is Pill administration?,18-30,Woman,Night;Morning;,2,2,2,,Yes,Maybe,Less than Thousand Rupees,No,Yes,Yes,I try to stick to the prescribed method of intake.
4,6-29-23 13:30:16,6-29-23 13:31:40,What is Pill administration?,18-30,Man,Night;,0,0,0,Never ,Yes,No,Less than Thousand Rupees,No,Yes,No,I easily forget things.
5,6-29-23 13:30:52,6-29-23 13:33:46,What is Pill administration?,18-30,Man,Night;,0,0,0,Not  frequently.,Maybe,Maybe,Few thousand Rupees,No,Yes,Yes,I easily forget things.
6,6-29-23 13:32:31,6-29-23 13:33:53,What is Pill administration?,18-30,Man,Night;,0,0,1,1,Yes,No,Less than Thousand Rupees,No,Yes,No,I easily forget things.
7,6-29-23 13:34:05,6-29-23 13:35:16,What is Pill administration?,18-30,Man,Morning;Evening;,1,1,1,Rarely,Yes,Yes,More than ten thousand Rupees,No,Yes,Yes,I try to stick to the prescribed method of intake.
8,6-29-23 13:32:45,6-29-23 13:35:41,What is Pill administration?,18-30,Man,Morning;,0,0,0,1,Yes,No,Less than Thousand Rupees,No,Yes,Yes,I easily forget things.
9,6-29-23 13:45:17,6-29-23 13:47:10,What is Pill administration?,18-30,Man,Night;,0,0,0,1,Yes,Maybe,Less than Thousand Rupees,No,Yes,Yes,I easily forget things.
10,6-29-23 13:52:20,6-29-23 13:53:55,What is Pill administration?,18-30,Man,Night;,0,0,1,Yearly ,Maybe,Maybe,More than ten thousand Rupees,No,Yes,Yes,I easily forget things.
11,6-29-23 13:52:14,6-29-23 13:56:19,No one can do it better than me,18-30,Woman,Morning;Night;,4,0,4,Once in 3 months,Yes,Yes,Few thousand Rupees,No,Yes,Yes,I easily forget things.
12,6-29-23 14:21:32,6-29-23 14:23:15,What is Pill administration?,18-30,Man,Afternoon;,Nil,1,Nil,Yearly once,Yes,Yes,Few thousand Rupees,Yes,No,No,I try to stick to the prescribed method of intake.
